,id,type of property,subtype of property,locality,latitude,longitude,street,postalCode,price,type of sale,number of bedrooms,living area,livable area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building,Unnamed: 0,Gemeente,Province,Population,Area(km2),Density,kitchen,price per sqr
10789,10747179,HOUSE,HOUSE,Leuven,50.893988,4.6972181,,3012,525000,residential_sale,3,0,190.0,hyper_equipped,False,False,True,16.0,True,100.0,190.0,397.0,2.0,False,just_renovated,965,Leuven,Vlaams-Brabant,1146175,2118.0,542,Hyper equipped,2763.157894736842
10790,10610628,HOUSE,HOUSE,Rotselaar,50.9751148,4.710597,,3118,525000,residential_sale,4,16,227.0,installed,False,False,True,30.0,True,200.0,227.0,626.0,4.0,False,good,985,Rotselaar,Vlaams-Brabant,1146175,2118.0,542,,2312.775330396476
10791,10670643,HOUSE,VILLA,Keerbergen,50.9949766,4.639605,Euburonenstraat 40,3140,525000,residential_sale,3,0,171.0,semi_equipped,False,False,True,0.0,False,0.0,171.0,1364.0,0.0,False,good,222,Keerbergen,Vlaams-Brabant,1146175,2118.0,542,Semi equipped,3070.1754385964914
10792,10714938,HOUSE,EXCEPTIONAL_PROPERTY,Gedinne,50.001107,5.0175453,Avenue des Aunelles 12,5575,530000,residential_sale,6,56,280.0,installed,False,True,True,50.0,True,8000.0,280.0,8528.0,4.0,False,as_new,425,Gedinne,Namur,494325,3675.0,135,,1892.857142857143
10793,10668860,HOUSE,HOUSE,Brugge,51.1909804,3.2660128,Den Triangel 2,8310,549000,residential_sale,4,0,234.0,usa_hyper_equipped,False,False,True,0.0,False,0.0,234.0,306.0,3.0,False,as_new,2483,Brugge,West-Vlaanderen,1344241,3813.0,353,,2346.153846153846
10794,10655391,HOUSE,HOUSE,Woluwe-Saint-Pierre,,,Chaussée de Waterloo 1382,1150,550000,residential_sale,3,25,110.0,installed,False,False,True,20.0,False,0.0,110.0,235.0,3.0,False,good,19,Sint-Pieters-Woluwe,Brussel,1208542,162.4,7442,,5000.0
10795,10710910,HOUSE,VILLA,Lasne,,,drève richelle 96,1380,550000,residential_sale,2,35,114.0,installed,False,False,True,30.0,True,1500.0,114.0,2279.0,4.0,False,to_renovate,50,Lasne,Brabant wallon,403599,1097.0,368,,4824.561403508772
10796,10631975,HOUSE,MANSION,Zottegem,50.8675436,3.8101902,,9620,560000,residential_sale,4,0,320.0,0,False,True,True,1.0,True,420.0,320.0,692.0,2.0,False,good,683,Zottegem,Oost-Vlaanderen,1515064,3007.0,504,,1750.0
10797,10710741,HOUSE,HOUSE,Waterloo,,,Chaussée de Tervuren 149/3,1410,565000,residential_sale,2,55,135.0,installed,False,True,True,40.0,True,0.0,135.0,1340.0,4.0,False,as_new,55,Waterloo,Brabant wallon,403599,1097.0,368,,4185.185185185185
10798,10636062,HOUSE,VILLA,Lierde,50.8224318,3.845417,Dokter Honore Dewolfstraat 23,9570,575000,residential_sale,3,56,195.0,0,False,False,True,0.0,True,0.0,195.0,2583.0,4.0,False,as_new,680,Lierde,Oost-Vlaanderen,1515064,3007.0,504,,2948.7179487179487
10799,10629121,HOUSE,VILLA,Maarkedal,50.7664994,3.59324,Dokter Honore Dewolfstraat 23,9680,575000,residential_sale,3,45,210.0,0,False,False,True,0.0,True,0.0,210.0,1839.0,4.0,False,as_new,687,Maarkedal,Oost-Vlaanderen,1515064,3007.0,504,,2738.095238095238
10800,10779189,HOUSE,HOUSE,Uccle,,,rue alphonse renard 56,1180,580000,residential_sale,3,36,122.0,usa_hyper_equipped,False,False,True,30.0,False,0.0,122.0,78.0,2.0,False,as_new,25,Uccle,Brussel,1208542,162.4,7442,,4754.098360655737
10801,10388268,HOUSE,APARTMENT_BLOCK,Antwerp,51.2128514,4.4188542,Sint-Katelijnevest 24,2018,580000,residential_sale,3,0,173.0,installed,False,False,True,0.0,False,0.0,173.0,0.0,2.0,False,just_renovated,113,Antwerpen,Antwerpen,1857986,2876.0,647,,3352.601156069364
10802,10723714,HOUSE,HOUSE,Bruxelles,50.874193,4.3430046,Avenue de Laeken 29,1020,585000,residential_sale,6,20,256.0,installed,False,False,True,7.0,False,0.0,256.0,310.0,2.0,False,good,711,Brussel,Brussel,1208542,162.4,7442,,2285.15625
10803,10633430,HOUSE,HOUSE,Forest,50.8218654,4.3271602,Rue Xavier De Bue 1,1190,589000,residential_sale,8,30,294.0,0,False,False,False,0.0,True,40.0,294.0,0.0,2.0,False,to_renovate,27,Forest,Brussel,1208542,162.4,7442,,2003.4013605442176
10804,10799356,HOUSE,HOUSE,Auderghem,50.8172243,4.4291814,Chaussée de Wavre 1307,1160,595000,residential_sale,5,0,350.0,installed,False,False,False,0.0,False,0.0,350.0,140.0,2.0,False,to_be_done_up,21,Auderghem,Brussel,1208542,162.4,7442,,1700.0
10805,10798493,HOUSE,COUNTRY_COTTAGE,Merchtem,50.9884719,4.2142289,Parklaan 63,1785,595000,residential_sale,3,0,276.0,installed,False,True,True,35.0,True,650.0,276.0,0.0,4.0,False,as_new,96,Merchtem,Vlaams-Brabant,1146175,2118.0,542,,2155.7971014492755
10806,10793626,HOUSE,HOUSE,Brugge,51.2041947,3.234307,Ezelstraat 31,8000,595000,residential_sale,4,41,137.0,0,False,False,False,0.0,False,0.0,137.0,92.0,2.0,False,good,565,Brugge,West-Vlaanderen,1344241,3813.0,353,,4343.065693430657
10807,10716095,HOUSE,MIXED_USE_BUILDING,Jette,50.872041,4.3241742,Avenue de Laeken 29,1090,615000,residential_sale,3,23,200.0,hyper_equipped,False,False,False,0.0,False,0.0,200.0,75.0,2.0,False,as_new,17,Jette,Brussel,1208542,162.4,7442,Hyper equipped,3075.0
10808,10790046,HOUSE,VILLA,Merelbeke,50.9403536,3.736539,Maenhoutstraat 72A,9820,625000,residential_sale,4,0,171.0,usa_installed,False,False,True,0.0,True,1206.0,171.0,1388.0,4.0,False,good,696,Merelbeke,Oost-Vlaanderen,1515064,3007.0,504,Equipped,3654.970760233918
